itemLabel.value,film_id,year,instanceLabel,duration,englishTitle,originalTitle,description,genre,country,language,director,production_company,imdb_id,kinopoisk_id,cast,screenwriter,youtube_id,director_of_photography,composer,wikipedia_url
Waltz,Q111283613,1969.0,['film'],,['Waltz'],"['Вальс (фильм, 1969)']",['1969 Soviet fiction film directed by Viktor Titov'],['drama film'],['Soviet Union'],['Russian'],['Q4458251'],['Mosfilm'],,,,['Elena Kaplinskaya'],,,,"['https://ru.wikipedia.org/wiki/Вальс_(фильм,_1969)']"
Moscow Does Not Believe in Tears,Q53105,1980.0,['film'],140.0,['Moscow Does Not Believe in Tears'],['Москва слезам не верит'],['1979 film by Vladimir Menshov'],"['romance film', 'melodrama']",['Soviet Union'],['Russian'],['Q726105'],['Mosfilm'],['tt0079579'],['46708'],"['Q264959', 'Q339581', 'Q380250', 'Q466139', 'Q1710233', 'Q1962742', 'Q2995395', 'Q4102124', 'Q4402599']","['Vladimir Menshov', 'Valentin Chernykh']","['uUVd9j543s8', 'X7GuhjGZ-xs']",['Igor Slabnevich'],['Sergey Nikitin'],"['https://en.wikipedia.org/wiki/Moscow_Does_Not_Believe_in_Tears', 'https://ru.wikipedia.org/wiki/Москва_слезам_не_верит']"
Valera,Q114298807,1964.0,['film'],67.0,['Valera'],['Валера'],['1964 film directed by Boris Rytsarev'],['drama film'],['Soviet Union'],['Russian'],['Q287238'],['Gorky Film Studio'],['tt0329726'],['45656'],,,['Lw1zZgngkMw'],,,
Deja Vu,Q1972779,1989.0,['film'],104.0,['Deja Vu'],['Дежа вю'],['1990 Polish film by Juliusz Machulski'],"['crime-comedy film', 'comedy film']","['Poland', 'Soviet Union']",['Russian'],['Q1349134'],['Odesa Film Studio'],['tt0097253'],['44394'],"['Q55369', 'Q2365826', 'Q4141807']",['Alexander Borodyansky'],,['Janusz Gauer'],['Krzesimir Dębski'],"['https://en.wikipedia.org/wiki/Deja_Vu_(1990_film)', 'https://ru.wikipedia.org/wiki/Дежа_вю_(фильм,_1989)']"
Q3876893,Q3876893,1961.0,['film'],,,,['1961 film'],['documentary film'],['Soviet Union'],,['Q521295'],,['tt0174988'],['46440'],,,,,,[]
Confrontation,Q4381786,1985.0,['miniseries'],392.0,['Confrontation'],['Противостояние'],['1985 film by Semyon Aranovich'],"['mystery television series', 'war television series', 'drama television series', 'television series based on a novel']",['Soviet Union'],['Russian'],['Q2001026'],['Lenfilm'],['tt0264292'],['94116'],"['Q2622206', 'Q4091037']",['Yulian Semyonov'],,['Valery Fedosov'],['Alexander Knaifel'],"['https://en.wikipedia.org/wiki/Confrontation_(miniseries)', 'https://ru.wikipedia.org/wiki/Противостояние_(телесериал)']"
Акция,Q4060301,1987.0,['film'],91.0,,['Акция'],['1987 film by Vladimir Shamshurin'],['war film'],['Soviet Union'],['Russian'],['Q4519995'],['Mosfilm'],['tt0092526'],['43442'],['Q4132614'],['Anatoly Stepanov'],,,['Viktor Babushkin'],['https://ru.wikipedia.org/wiki/Акция_(фильм)']
Kashtanka,Q70462191,1975.0,['film'],63.0,['Kashtanka'],['Каштанка'],['1975 film directed by Roman Balayan'],['adventure film'],['Soviet Union'],['Russian'],['Q2379570'],['Dovzhenko Film Studios'],['tt0170101'],['95625'],"['Q466139', 'Q2632355']",,,['Aleksandr Itygilov'],['Volodymyr Huba'],['https://ru.wikipedia.org/wiki/Каштанка_(фильм)']
Happy Go Lucky,Q2141856,1972.0,['film'],96.0,['Happy Go Lucky'],['Печки-лавочки'],['1972 film by Vasily Shukshin'],['comedy film'],['Soviet Union'],['Russian'],['Q316086'],['Gorky Film Studio'],['tt0069068'],['42910'],"['Q316086', 'Q400614', 'Q457434', 'Q1253150', 'Q4482111']",['Vasily Shukshin'],['uFu7Fn_gWoE'],['Anatoly Zabolosky'],,"['https://en.wikipedia.org/wiki/Happy_Go_Lucky_(1972_film)', 'https://ru.wikipedia.org/wiki/Печки-лавочки']"
Chervona Ruta,Q2301345,1971.0,['film'],45.0,['Chervona Ruta'],['Червона рута'],['1971 film'],"['romance film', 'musical film']",['Soviet Union'],['Russian'],['Q25437987'],['Ukrtelefilm'],['tt0174547'],['392586'],"['Q43137', 'Q2453311', 'Q4192156']",,,,['Nino Rota'],"['https://en.wikipedia.org/wiki/Chervona_Ruta_(film)', 'https://ru.wikipedia.org/wiki/Червона_рута_(фильм)']"
Безотцовщина,Q3513775,1976.0,['film'],94.0,,['Безотцовщина'],['1976 film by Vladimir Shamshurin'],['drama film'],['Soviet Union'],['Russian'],['Q4519995'],['Mosfilm'],['tt0074202'],['46125'],['Q4482147'],,['XNlmEz7fYzo'],,,"['https://ru.wikipedia.org/wiki/Безотцовщина_(фильм,_1976)']"
Svadebnyy podarok,Q62076257,1982.0,['film'],77.0,['Svadebnyy podarok'],['Свадебный подарок'],['film directed by Rolan Bykov and Rezo Esadze'],"['melodrama', 'comedy film']",['Soviet Union'],"['Russian', 'Georgian']","['Q378333', 'Q4532647', 'Q12073932']",['Odesa Film Studio'],['tt0084742'],['44046'],"['Q378333', 'Q2003967', 'Q2368070', 'Q4137272', 'Q4407399', 'Q4532647']",,['s5RXd4o1gAE'],,['Mikhail Meerovich'],['https://ru.wikipedia.org/wiki/Свадебный_подарок_(фильм)']
