itemLabel.value,film_id,year,instanceLabel,duration,englishTitle,originalTitle,description,genre,country,language,director,production_company,imdb_id,kinopoisk_id,cast,screenwriter,youtube_id,director_of_photography,composer,wikipedia_url
Cinderella,Q4193714,1979.0,"['animated short film', 'film', 'animated film']",17.0,['Cinderella'],"['Золушка (мультфильм, 1979)']",['1979 film directed by Ivan Aksenchuk'],['cinematic fairy tale'],['Soviet Union'],['Russian'],['Q4059921'],['Soyuzmultfilm'],['tt0222511'],['45399'],,,,['Boris Kotov'],,"['https://en.wikipedia.org/wiki/Cinderella_(1979_film)', 'https://ru.wikipedia.org/wiki/Золушка_(мультфильм,_1979)']"
Исход,Q4205172,1968.0,['film'],,,['Исход'],['1968 film by Anatoly Bobrovsky'],['drama film'],['Soviet Union'],['Russian'],"['Q3161599', 'Q4088836']","['Mosfilm', 'Mongolkino']",['tt0347261'],['42626'],['Q3561885'],['Yulian Semyonov'],['NPaNs2OTkso'],,['Nikolai Sidelnikov'],"['https://ru.wikipedia.org/wiki/Исход_(фильм,_1968)']"
Евгения Гранде,Q4172865,1960.0,['film'],,,['Евгения Гранде'],['1960 film by Sergei Alekseyev'],"['film based on a novel', 'drama film']",['Soviet Union'],['Russian'],['Q4061727'],['Mosfilm'],['tt0142269'],['42028'],"['Q2376266', 'Q2628071', 'Q4261525', 'Q4288757', 'Q4500586']",['Sergei Alekseyev'],['VBGcKYSm9Xk'],,['Vladimir Mikhailovich Yurovsky'],"['https://ru.wikipedia.org/wiki/Евгения_Гранде_(фильм,_1960)']"
An Ideal Husband,Q4197862,1980.0,['film'],93.0,['An Ideal Husband'],['Идеальный муж'],['1980 film by Viktor Georgiyev'],['comedy film'],['Soviet Union'],['Russian'],['Q4135746'],['Mosfilm'],['tt0080912'],['42570'],"['Q68537', 'Q384090', 'Q784509', 'Q3391400']",['Viktor Georgiyev'],['hCayZ7mCwfQ'],['Fyodor Dobronravov'],['Edison Denisov'],"['https://en.wikipedia.org/wiki/An_Ideal_Husband_(1980_film)', 'https://ru.wikipedia.org/wiki/Идеальный_муж_(фильм,_1980)']"
Ladies' Tango,Q4154443,1983.0,['film'],83.0,"[""Ladies' Tango""]",['Дамское танго'],['1983 film directed by Sulambek Mamilov'],['melodrama'],['Soviet Union'],['Russian'],['Q4279919'],['Gorky Film Studio'],['tt0085395'],['44097'],"['Q1196388', 'Q1253150', 'Q4104514', 'Q4125515', 'Q4176044', 'Q4179288', 'Q4233905', 'Q4315626', 'Q4322639', 'Q4399038', 'Q4399399', 'Q4402599', 'Q4421775', 'Q4482226', 'Q4532381', 'Q13218029', 'Q13218037']",,['6nHGGYhQ3eg'],,,"[""https://en.wikipedia.org/wiki/Ladies'_Tango"", 'https://ru.wikipedia.org/wiki/Дамское_танго']"
Twice Born,Q4155621,1983.0,['film'],85.0,['Twice Born'],['Дважды рождённый'],['1983 film by Arkadi Sirenko'],['war film'],['Soviet Union'],['Russian'],['Q21149175'],['Mosfilm'],['tt0252402'],['44344'],"['Q247846', 'Q1072225', 'Q2003255', 'Q4077738', 'Q4095331', 'Q4233834', 'Q4236667', 'Q4296257', 'Q4365380', 'Q4400363']",['Viktor Astafyev'],,['Elizbar Karavayev'],['Edison Denisov'],"['https://en.wikipedia.org/wiki/Twice_Born_(1983_film)', 'https://ru.wikipedia.org/wiki/Дважды_рождённый']"
Даиси,Q4154031,1971.0,['film'],,,['Даиси'],['1971 film directed by Nikoloz Sanishvili'],,['Soviet Union'],['Russian'],['Q4407618'],['Kartuli Pilmi'],['tt0275288'],['44084'],,,,,['Zacharia Paliashvili'],['https://ru.wikipedia.org/wiki/Даиси_(фильм-опера)']
Дамы и гусары,Q4154452,1976.0,['film'],,,['Дамы и гусары'],['1976 film by Anatoliy Nitotsykin'],['comedy film'],['Soviet Union'],['Russian'],['Q4321573'],['Studio Ekran'],['tt6190266'],['592019'],"['Q551254', 'Q784509', 'Q4207699', 'Q4244914', 'Q4347601', 'Q4388950', 'Q4503736', 'Q15129386', 'Q15143736', 'Q16683570']",['Aleksander Fredro'],,,,"['https://ru.wikipedia.org/wiki/Дамы_и_гусары_(фильм,_1976)']"
"Do You Want to Be an Actress, Girl?",Q4156422,1977.0,['film'],82.0,"['Do You Want to Be an Actress, Girl?']","['Девочка, хочешь сниматься в кино?']",['1977 film by Adolf Bergunker'],['drama film'],['Soviet Union'],['Russian'],['Q4084037'],['Lenfilm'],['tt0127513'],['44177'],,['Yuri Yakovlev'],,,['Vladislav Kladnitsky'],"['https://ru.wikipedia.org/wiki/Девочка,_хочешь_сниматься_в_кино?']"
The Demon,Q4157664,1960.0,['film'],63.0,['The Demon'],['Демон'],['1960 opera film'],,['Soviet Union'],['Russian'],,,['tt1679551'],['548902'],['Q1280772'],,,,,['https://ru.wikipedia.org/wiki/Демон_(фильм-опера)']
Дела давно минувших дней…,Q4157011,1972.0,['film'],,,['Дела давно минувших дней…'],['1972 film by Vladimir Shredel'],,['Soviet Union'],['Russian'],['Q3561769'],['Lenfilm'],['tt0068470'],['44117'],"['Q442973', 'Q4291041']",['Aleksandr Chervinsky'],,['Vladimir Burykin'],['Isaac Schwartz'],['https://ru.wikipedia.org/wiki/Дела_давно_минувших_дней…']
Комета,Q4229536,1983.0,['film'],68.0,,['Комета'],['1983 film by Richard Viktorov'],"['speculative/fantastic fiction film', 'comedy film']",['Soviet Union'],['Russian'],"['Q4111069', 'Q4517961']",['Gorky Film Studio'],['tt0160436'],['44875'],"['Q1071764', 'Q1509164', 'Q2003697', 'Q2568825', 'Q3553607', 'Q4193631', 'Q4399398', 'Q4415353', 'Q4444640', 'Q4517961', 'Q28874022']","['Kir Bulychev', 'Richard Viktorov']",['VZDBreRaMYI'],['Aleksandr Rybin'],['Vladimir Chernyshyov'],"['https://ru.wikipedia.org/wiki/Комета_(фильм,_1983)']"
Dmitry II,Q4162880,1982.0,['film'],,['Dmitry II'],['Дмитрий II'],['1982 film'],['historical film'],['Soviet Union'],['Russian'],['Q4500329'],,['tt0285522'],['44207'],"['Q1967346', 'Q3329320', 'Q4099500', 'Q4217768', 'Q4466608', 'Q7262061']",['Ramaz Khotivari'],,,,['https://ru.wikipedia.org/wiki/Дмитрий_II_(фильм)']
Flying Days,Q4163300,1966.0,['film'],,['Flying Days'],['Дни лётные'],['1966 film'],['war film'],['Soviet Union'],['Russian'],"['Q12120056', 'Q12147937']",['Dovzhenko Film Studios'],['tt0375714'],['44229'],['Q1366720'],,,['Vitaly Kalashnikov'],['Yevgeny Zubtsov'],"['https://en.wikipedia.org/wiki/Flying_Days', 'https://ru.wikipedia.org/wiki/Дни_лётные']"
A Long Goodbye,Q4164467,1971.0,['film'],95.0,['A Long Goodbye'],['Долгие проводы'],['1971 film by Kira Muratova'],['drama film'],['Soviet Union'],['Russian'],['Q435805'],['Odesa Film Studio'],['tt0092905'],['44255'],"['Q1713901', 'Q4167719', 'Q4199966', 'Q4520572']",['Natalya Ryazantseva'],,['Gennadi Karyuk'],['Oleg Karavaychuk'],"['https://en.wikipedia.org/wiki/The_Long_Farewell', 'https://ru.wikipedia.org/wiki/Долгие_проводы']"
Дневник Карлоса Эспинолы,Q4163076,1976.0,['film'],,,['Дневник Карлоса Эспинолы'],['1976 film'],['drama film'],['Soviet Union'],['Russian'],['Q4413685'],['Gorky Film Studio'],['tt5377526'],['469462'],,,,,['Alexey Rybnikov'],['https://ru.wikipedia.org/wiki/Дневник_Карлоса_Эспинолы']
Долг в любви,Q4164400,1984.0,['film'],,,['Долг в любви'],['1984 film by Varis Brasla'],,['Soviet Union'],['Russian'],['Q4095849'],['Riga Film Studio'],['tt2396615'],['681518'],['Q4055980'],,,,['Imants Kalniņš'],['https://ru.wikipedia.org/wiki/Долг_в_любви']
Don Tale,Q4166352,1964.0,['film'],91.0,['Don Tale'],['Донская повесть'],['1964 film by Vladimir Fetin'],['drama film'],['Soviet Union'],['Russian'],['Q4483301'],['Lenfilm'],['tt0130630'],['44278'],"['Q717810', 'Q3540962', 'Q4322639']",['Arnold Vitol'],,,['Vasily Solovyov-Sedoi'],"['https://en.wikipedia.org/wiki/Don_Tale', 'https://ru.wikipedia.org/wiki/Донская_повесть']"
Interrogation,Q4166536,1979.0,['film'],86.0,['Interrogation'],['Допрос'],['1979 film by Rasim Ojagov'],"['drama film', 'mystery film', 'detective film']","['Soviet Union', 'Azerbaijan Soviet Socialist Republic']","['Russian', 'Azerbaijani']","['Q1601636', 'Q4331499']",['Azerbaijanfilm'],['tt0079067'],['161189'],"['Q1967736', 'Q2366127', 'Q4076272', 'Q4279840', 'Q4279888', 'Q4382473', 'Q4465673']",['Rustam Ibrahimbeyov'],,['Rafig Gambarov'],['Emin Sabitoglu'],"['https://en.wikipedia.org/wiki/Interrogation_(1980_film)', 'https://ru.wikipedia.org/wiki/Допрос_(фильм)']"
Дом на Лесной,Q4165532,1980.0,['film'],96.0,,['Дом на Лесной'],['1980 film directed by Nikoloz Sanishvili'],"['drama film', 'historical film']",['Soviet Union'],['Russian'],['Q4407618'],['Kartuli Pilmi'],['tt0207419'],['43589'],"['Q264959', 'Q1962914', 'Q4152715', 'Q4408355', 'Q4461502', 'Q4525610', 'Q4537823', 'Q13218029', 'Q19912025', 'Q23656654']",['Georgi Mdivani'],,,['Antonio Spadavecchia'],['https://ru.wikipedia.org/wiki/Дом_на_Лесной']
Drama from ancient Life,Q4167646,1971.0,['film'],86.0,['Drama from ancient Life'],['Драма из старинной жизни'],['1971 film by Ilya Averbakh'],['drama film'],['Soviet Union'],['Russian'],['Q4055630'],['Lenfilm'],['tt0123047'],['44301'],"['Q1964487', 'Q4173711', 'Q15079393']","['Ilya Averbakh', 'Vladimir Belyayev']",['DRcU-VrLivs'],['Dmitriy Meskhiev'],['Oleg Karavaychuk'],"['https://en.wikipedia.org/wiki/Drama_from_Ancient_Life', 'https://ru.wikipedia.org/wiki/Драма_из_старинной_жизни']"
Друг Горького – Андреева,Q4168622,1966.0,['film'],,,['Друг Горького – Андреева'],['1966 film by Semyon Aranovich'],['documentary film'],['Soviet Union'],['Russian'],['Q2001026'],['Lennauchfilm'],,['600776'],['Q94572'],['Boris Dobrodeyev'],,,['Aleksandr Chernov'],['https://ru.wikipedia.org/wiki/Друг_Горького_—_Андреева']
Whit Monday,Q4171286,1990.0,['film'],117.0,['Whit Monday'],['Духов день'],['1990 film by Sergej Seljanov'],['drama film'],['Soviet Union'],['Russian'],['Q2272712'],['Lenfilm'],['tt0308195'],['44314'],"['Q51094', 'Q4141807', 'Q4234488', 'Q4315827']","['Sergey Mikhailovich Selyanov', 'Mikhail Konovalchuk']",,['Sergey Astakhov'],['Yuri Shevchuk'],"['https://en.wikipedia.org/wiki/Whit_Monday_(film)', 'https://ru.wikipedia.org/wiki/Духов_день_(фильм)']"
Дюма на Кавказе,Q4172244,1979.0,['film'],,,['Дюма на Кавказе'],['1979 film'],['comedy film'],['Soviet Union'],['Russian'],,['Gorky Film Studio'],['tt0976203'],['279590'],"['Q380280', 'Q571006', 'Q1966522', 'Q2545982', 'Q3741164', 'Q4077738', 'Q4199966', 'Q4206952', 'Q4216344', 'Q4401835', 'Q4518423', 'Q7262061']",['Revaz Gabriadze'],['aKoTRmB19jE'],['Yuri Klimenko'],,['https://ru.wikipedia.org/wiki/Дюма_на_Кавказе']
"Если можешь, прости",Q4177189,1984.0,['film'],84.0,,"['Если можешь, прости']",['1984 film by Aleksandr Itygilov'],,['Soviet Union'],['Russian'],['Q12075400'],['Dovzhenko Film Studios'],['tt0088429'],['42447'],"['Q287110', 'Q466139', 'Q2376215', 'Q4245321', 'Q7226703']",,,,['Eugen Doga'],"['https://ru.wikipedia.org/wiki/Если_можешь,_прости…']"
Zhizn i priklyucheniya chetyrekh druzei 3/4,Q4180221,1981.0,['film'],,['Zhizn i priklyucheniya chetyrekh druzei 3/4'],['Жизнь и приключения четырёх друзей 3/4'],['1981 film'],"[""children's film"", 'Christmas film']",['Soviet Union'],['Russian'],,,['tt0466198'],['208468'],['Q314151'],,,,['Gennady Gladkov'],"['https://en.wikipedia.org/wiki/Life_and_Adventures_of_Four_Friends_3/4', 'https://ru.wikipedia.org/wiki/Жизнь_и_приключения_четырёх_друзей_3/4']"
Chasing Two Hares,Q4182238,1961.0,['film'],72.0,['Chasing Two Hares'],['За двумя зайцами'],['1961 film by Viktor Ivanov'],['comedy film'],['Soviet Union'],['Ukrainian'],['Q4196052'],['Dovzhenko Film Studios'],['tt0055635'],['45174'],"['Q522271', 'Q1623429']",,"['0HY8-_kYfJc', 'HRY-PQQVboU']",['Vadym Illenko'],['Vadym Homolyaka'],"['https://en.wikipedia.org/wiki/Chasing_Two_Hares', 'https://ru.wikipedia.org/wiki/За_двумя_зайцами_(фильм,_1961)']"
За твою судьбу,Q4182280,1972.0,['film'],,,['За твою судьбу'],['1972 film'],['drama film'],['Soviet Union'],['Russian'],['Q4193101'],['Odesa Film Studio'],['tt4695102'],['472293'],['Q4226518'],['Yevhen Onopriyenko'],,,['Myroslav Skoryk'],['https://ru.wikipedia.org/wiki/За_твою_судьбу']
Iona,Q4202733,1987.0,['film'],92.0,['Iona'],['Иона'],['1987 Moldovan film directed by Valeriu Jereghi'],['drama film'],['Soviet Union'],['Russian'],['Q7273501'],['Moldova-Film'],['tt0298376'],['42616'],['Q4517008'],['Valeriu Jereghi'],,,['Ion Aldea Teodorovici'],['https://ru.wikipedia.org/wiki/Иона_(фильм)']
Starfall,Q4189435,1981.0,['film'],92.0,['Starfall'],['Звездопад'],['1981 film by Igor Talankin'],['drama film'],['Soviet Union'],['Russian'],['Q962900'],['Mosfilm'],['tt0083145'],['45415'],"['Q1071694', 'Q4139264', 'Q4297427', 'Q12844049', 'Q17427926']",['Igor Talankin'],['eplWIxApIU4'],['Georgy Rerberg'],['Alfred Schnittke'],"['https://en.wikipedia.org/wiki/Starfall_(film)', 'https://ru.wikipedia.org/wiki/Звездопад_(фильм)']"
Zigzag of Success,Q4191769,1968.0,['film'],83.0,['Zigzag of Success'],['Зигзаг удачи'],['1968 film by Eldar Ryazanov'],['comedy film'],['Soviet Union'],['Russian'],['Q381944'],['Mosfilm'],['tt0063840'],['45352'],"['Q400614', 'Q544810', 'Q717810', 'Q917581', 'Q1344765', 'Q4148913', 'Q4405072', 'Q4454223']","['Eldar Ryazanov', 'Emil Braginsky']",['rjeWVIBUbuE'],['Vladimir Nakhabtsev'],['Andrey Petrov'],"['https://en.wikipedia.org/wiki/Zigzag_of_Success', 'https://ru.wikipedia.org/wiki/Зигзаг_удачи']"
Земляки,Q4191130,1974.0,['film'],,,['Земляки'],['1974 film by Valentin Vinogradov'],['drama film'],['Soviet Union'],['Russian'],['Q4111722'],['Mosfilm'],['tt0072442'],['45274'],['Q2376215'],,,,,"['https://ru.wikipedia.org/wiki/Земляки_(фильм,_1974)']"
Знамя кузнеца,Q4192913,1961.0,['film'],92.0,,['Знамя кузнеца'],['1961 film by Boris Kimyagarov'],['fantasy film'],['Soviet Union'],['Russian'],['Q650166'],['Tajikfilm'],['tt2218011'],['481027'],"['Q4216949', 'Q22570164']","['Yevgeni Pomeshchikov', 'Nikolay Rozhkov']",,['Naum Ardashnikov'],['Suleiman Yudakov'],['https://ru.wikipedia.org/wiki/Знамя_кузнеца']
And Then Came Bumbo...,Q4195075,1984.0,['film'],78.0,['And Then Came Bumbo...'],['И вот пришёл Бумбо…'],['1984 film by Nadezhda Kosheverova'],"['cinematic fairy tale', ""children's film""]",['Soviet Union'],['Russian'],['Q2781903'],['Lenfilm'],['tt0087450'],['42561'],['Q2622206'],['Yuli Dunsky'],['oAtzQ2EJm7g'],['Eduard Rozovsky'],['Mieczysław Weinberg'],"['https://en.wikipedia.org/wiki/And_Then_Came_Bumbo...', 'https://ru.wikipedia.org/wiki/И_вот_пришёл_Бумбо…']"
Aniskin Again,Q4195091,1978.0,['film'],196.0,['Aniskin Again'],['И снова Анискин'],['1978 film by Mikhail Zharov'],"['mystery film', 'comedy film']",['Soviet Union'],['Russian'],"['Q764546', 'Q4196060']",['Gorky Film Studio'],['tt0077029'],['178719'],"['Q463528', 'Q764546']","[""Vil' Vladimirovič Lipatov""]",['HRvSJTIMDp8'],,['Vladimir Shainsky'],['https://ru.wikipedia.org/wiki/И_снова_Анискин']
И чёрт с нами,Q4195100,1991.0,['film'],95.0,,['И чёрт с нами'],['1991 film directed by Aleksandr Pavlovskiy'],['comedy film'],['Soviet Union'],['Russian'],['Q4341759'],['Odesa Film Studio'],['tt0102090'],['42551'],"['Q2365826', 'Q2372665']",['Aleksandr Pavlovsky'],['BJDKVM8snKI'],,['Maksim Dunayevsky'],[]
Иваника и Симоника,Q4195719,1976.0,['film'],,,['Иваника и Симоника'],['1976 film'],,['Soviet Union'],['Russian'],['Q4507391'],,['tt0288072'],['331737'],,['Pavle Charkviani'],,,['Jansug Kakhidze'],['https://ru.wikipedia.org/wiki/Иваника_и_Симоника']
From the Life of Fyodor Kuzkin,Q4198244,1989.0,['film'],,['From the Life of Fyodor Kuzkin'],['Из жизни Фёдора Кузькина'],['1989 film by Stanislav Rostotsky'],['drama film'],['Soviet Union'],['Russian'],['Q734925'],['Gorky Film Studio'],['tt0097602'],['42672'],['Q4446765'],['Stanislav Rostotsky'],"['dtJWkPqF_qw', 'PfLYZlwKWKw']",,['Andrey Petrov'],"['https://en.wikipedia.org/wiki/From_the_Life_of_Fyodor_Kuzkin', 'https://ru.wikipedia.org/wiki/Из_жизни_Фёдора_Кузькина_(фильм)']"
From the Life of a Chief of the Criminal Police,Q4198245,1983.0,['film'],93.0,['From the Life of a Chief of the Criminal Police'],['Из жизни начальника уголовного розыска'],['1983 film by Stepan Puchinyan'],['detective film'],['Soviet Union'],['Russian'],['Q15087655'],['Gorky Film Studio'],['tt0085740'],['42673'],"['Q664373', 'Q782176']",,['p0TbAyymYmQ'],,,"['https://en.wikipedia.org/wiki/From_the_Life_of_a_Chief_of_the_Criminal_Police', 'https://ru.wikipedia.org/wiki/Из_жизни_начальника_уголовного_розыска']"
Искусство жить в Одессе,Q4203986,1989.0,['film'],101.0,,['Искусство жить в Одессе'],['1989 film by George Jungvald-Khilkevitch'],['tragicomedy'],['Soviet Union'],['Russian'],['Q4534523'],['Odesa Film Studio'],['tt0097596'],['42632'],"['Q466139', 'Q1966992', 'Q4055902', 'Q4228709', 'Q4427091', 'Q13218064']",['Georgi Yungvald-Khilkevich'],['v2gO1iPG7b0'],['Feliks Hilevych'],['Alexander Gradsky'],['https://ru.wikipedia.org/wiki/Искусство_жить_в_Одессе']
Cain XVIII,Q4208526,1963.0,['film'],,['Cain XVIII'],['Каин XVIII'],['1963 film by Nadezhda Kosheverova'],['comedy film'],['Soviet Union'],['Russian'],['Q2781903'],['Lenfilm'],['tt0176875'],['44671'],"['Q460023', 'Q960027', 'Q4133732']",['Nikolay Erdman'],['duxEgF1F5O0'],['Eduard Rozovsky'],['Antonio Spadavecchia'],"['https://en.wikipedia.org/wiki/Cain_XVIII', 'https://ru.wikipedia.org/wiki/Каин_XVIII']"
How the Steel Was Tempered,Q4208814,1975.0,['film'],369.0,['How the Steel Was Tempered'],['Как закалялась сталь'],['1975 film by Nikolay Mashchenko'],"['film adaptation', 'drama film']",['Soviet Union'],['Russian'],['Q4286279'],['Dovzhenko Film Studios'],['tt0461257'],['369682'],"['Q3183886', 'Q4230859', 'Q4405209']","['Aleksandr Alov', 'Vladimir Naumov']",['wNt8fxLFLds'],['Aleksandr Itygilov'],['Ihor Shamo'],"['https://ru.wikipedia.org/wiki/Как_закалялась_сталь_(фильм,_1973)']"
"Какое оно, море?",Q4208926,1964.0,['film'],,,"['Какое оно, море?']",['1964 film by Eduard Bocharov'],['drama film'],['Soviet Union'],['Russian'],['Q4095331'],['Gorky Film Studio'],['tt0314249'],['44689'],,['Nikolay Dubov'],,['Igor Shatrov'],['Andrei Eshpai'],"['https://ru.wikipedia.org/wiki/Какое_оно,_море?']"
Карл Маркс. Молодые годы,Q4215168,1980.0,['film'],,,['Карл Маркс. Молодые годы'],['1980 film by Lev Kulidzhanov'],,"['Soviet Union', 'German Democratic Republic']",['Russian'],['Q1969437'],"['DEFA', 'Gorky Film Studio']",['tt0172016'],['405750'],['Q12275074'],['Boris Dobrodeyev'],,['Vadim Yusov'],,['https://ru.wikipedia.org/wiki/Карл_Маркс._Молодые_годы']
A Canary Cage,Q4223438,1983.0,['film'],,['A Canary Cage'],['Клетка для канареек'],['1983 film by Pavel Chukhray'],['drama film'],['Soviet Union'],['Russian'],['Q769783'],['Mosfilm'],['tt0130405'],['44820'],['Q4163612'],,['limguza5TjU'],['Mikhail Bits'],,"['https://en.wikipedia.org/wiki/A_Canary_Cage', 'https://ru.wikipedia.org/wiki/Клетка_для_канареек']"
The Keys of Skies,Q4224477,1964.0,['film'],73.0,['The Keys of Skies'],['Ключи от неба'],['1964 film by Viktor Ivanov'],['comedy film'],['Soviet Union'],['Russian'],['Q4196052'],['Dovzhenko Film Studios'],['tt0314279'],['44831'],"['Q2888926', 'Q4258686']",['Ivan Stadnyuk'],['Y0QJ3iEPrh4'],,['Vadym Homolyaka'],"['https://en.wikipedia.org/wiki/The_Keys_of_Skies', 'https://ru.wikipedia.org/wiki/Ключи_от_неба']"
When the Trees Were Tall,Q4226034,1961.0,['film'],95.0,['When the Trees Were Tall'],['Когда деревья были большими'],['1961 film'],['melodrama'],['Soviet Union'],['Russian'],['Q1969437'],['Gorky Film Studio'],['tt0055051'],['44838'],"['Q310873', 'Q316086', 'Q976903', 'Q2368070', 'Q3540962', 'Q4151791', 'Q4274633']",['Nikolai Figurovsky'],['sGc5m5wM15Y'],['Valeri Ginzburg'],['Leonid Afanasyev'],"['https://en.wikipedia.org/wiki/When_the_Trees_Were_Tall', 'https://ru.wikipedia.org/wiki/Когда_деревья_были_большими']"
Almanzor's Rings,Q4228960,1977.0,['film'],,"[""Almanzor's Rings""]",['Кольца Альманзора'],['1977 film by Igor Matveevitsj Voznesenskiy'],['action film'],['Soviet Union'],['Russian'],['Q4114852'],['Gorky Film Studio'],['tt0177889'],['44861'],['Q4424819'],['Valentin Vinogradov'],['-KLQR40gFFo'],['Aleksandr Rybin'],['Yevgeny Krylatov'],"[""https://en.wikipedia.org/wiki/Almanzor's_Rings"", 'https://ru.wikipedia.org/wiki/Кольца_Альманзора']"
Колыбельная для мужчин,Q4228849,1976.0,['film'],71.0,,['Колыбельная для мужчин'],['1976 film by Ivan Lukinsky'],['melodrama'],['Soviet Union'],['Russian'],"['Q4192420', 'Q4268942']",['Gorky Film Studio'],['tt0074760'],['44865'],"['Q4330943', 'Q4525477']",['Yuri Yakovlev'],['IyzfJqRXqjk'],['Aleksandr Rybin'],['Kirill Molchanov'],['https://ru.wikipedia.org/wiki/Колыбельная_для_мужчин']
Кольцо из Амстердама,Q4228995,1981.0,['film'],,,['Кольцо из Амстердама'],['1981 film by Vladimir Chebotaryov'],['mystery film'],['Soviet Union'],['Russian'],['Q728644'],['Mosfilm'],['tt0237381'],['44862'],['Q1958260'],['Oleg Gribanov'],,['Alexander Knyazhinsky'],['Andrey Petrov'],['https://ru.wikipedia.org/wiki/Кольцо_из_Амстердама']
Red and Black,Q4238708,1976.0,['film'],,['Red and Black'],['Красное и чёрное'],['1976 film by Sergei Gerasimov'],"['film based on a novel', 'drama film']",['Soviet Union'],['Russian'],['Q277356'],['Gorky Film Studio'],['tt0074762'],['44955'],['Q3920311'],"['Sergei Gerasimov', 'Georgi Sklyansky']","['g6jFuvugivg', 'LvXtCnJpNTw', 'P7P1-xQcLUs', 'yAS3oTbZmTk']",,,"['https://ru.wikipedia.org/wiki/Красное_и_чёрное_(фильм,_1976)']"
Кошкодав Сильвер,Q4237104,1989.0,['film'],,,['Кошкодав Сильвер'],['1989 film by Yuri Yelkhov'],,['Soviet Union'],['Russian'],['Q4175126'],,['tt5253182'],['478818'],['Q2992071'],['Yuri Yelkhov'],,['Yuri Yelkhov'],,['https://ru.wikipedia.org/wiki/Кошкодав_Сильвер']
Kiks,Q4220441,1991.0,['film'],95.0,['Kiks'],['Кикс'],['1991 film by Sergey Livnev'],['drama film'],['Soviet Union'],['Russian'],['Q4261049'],,['tt0102206'],['44809'],['Q4137272'],['Sergey Livnev'],,['Sergey Machilsky'],['Inna Zhelannaya'],['https://ru.wikipedia.org/wiki/Кикс_(фильм)']
Konets imperatora taygi,Q4230748,1978.0,['film'],89.0,['Konets imperatora taygi'],['Конец императора тайги'],['1978 film directed by Vladimir Sarukhanov'],['biographical film'],['Soviet Union'],['Russian'],['Q20513081'],['Gorky Film Studio'],['tt0314284'],['44896'],['Q2003967'],['Boris Kamov'],['xrR5cRFf_y8'],['Sergey Filippov'],['Yevgeny Krylatov'],['https://ru.wikipedia.org/wiki/Конец_императора_тайги']
Two Sundays,Q4155569,1963.0,['film'],89.0,['Two Sundays'],['Два воскресенья'],['1963 film by Vladimir Shredel'],['novella film'],['Soviet Union'],['Russian'],['Q3561769'],['Lenfilm'],['tt0383326'],['161201'],"['Q4164744', 'Q4232956']",['Anatoli Grebnev'],,['Semyon Ivanov'],['Andrey Petrov'],['https://ru.wikipedia.org/wiki/Два_воскресенья']
Double Overtake,Q4155837,1984.0,['film'],82.0,['Double Overtake'],['Двойной обгон'],['1984 film by Alexandre Gordon'],"['mystery film', 'action film']",['Soviet Union'],['Russian'],['Q2833712'],['Mosfilm'],['tt0087185'],['44357'],['Q4497702'],,['QcGjpkQtI44'],,['Viktor Babushkin'],['https://ru.wikipedia.org/wiki/Двойной_обгон']
You Cannot See What I Had Seen,Q4202341,1965.0,['film'],85.0,['You Cannot See What I Had Seen'],['Иные нынче времена'],['1965 film by Mikheil Chiaureli'],['comedy film'],['Soviet Union'],['Russian'],['Q969083'],,['tt0170487'],['42056'],"['Q446914', 'Q521295', 'Q2024875', 'Q7262061']",['Mikheil Chiaureli'],,,['Revaz Lagidze'],['https://ru.wikipedia.org/wiki/Иные_нынче_времена_(фильм)']
Adam and Eve,Q4057255,1969.0,['film'],71.0,['Adam and Eve'],['Адам и Хева'],['1969 film by Aleksey Korenev'],['comedy film'],['Soviet Union'],['Russian'],['Q4232860'],['Mosfilm'],['tt0149586'],['43406'],"['Q718622', 'Q3740637', 'Q4134694', 'Q4138698']",['Akhmedkhan Abu-Bakar'],['k8yp_tIrMCo'],['Anatoliy Kuznetsov'],['Murad Kajlayev'],"['https://en.wikipedia.org/wiki/Adam_and_Eve_(1969_film)', 'https://ru.wikipedia.org/wiki/Адам_и_Хева']"
Crash — Cop's Daughter,Q4055402,1989.0,['film'],94.0,"[""Crash — Cop's Daughter""]",['Авария — дочь мента'],['1989 film by Mikhail Tumanishvili'],"['crime film', 'drama film']",['Soviet Union'],['Russian'],['Q4465303'],['Mosfilm'],['tt0096858'],['43559'],"['Q800029', 'Q3727662', 'Q4068734', 'Q4114833', 'Q4199553', 'Q4318167', 'Q4397133']",['Yuriy Korotkov'],['M5xA3aT0Adc'],,['Viktor Babushkin'],"[""https://en.wikipedia.org/wiki/Crash_–_Cop's_Daughter"", 'https://ru.wikipedia.org/wiki/Авария_—_дочь_мента']"
Абу Райхан Беруни,Q4055164,1974.0,['film'],,,['Абу Райхан Беруни'],['1974 film by Shuhrat Abbosov'],['drama film'],['Soviet Union'],['Russian'],['Q2375905'],,['tt0299445'],['43404'],['Q20533459'],['Shuhrat Abbosov'],,['Hotam Fayziyev'],['Rumil Vildanov'],['https://ru.wikipedia.org/wiki/Абу_Райхан_Беруни_(фильм)']
