film_id,film_name,actor_id,actor_name
Q4272055,Lyudi na bolote,Q15145993,Aleksandr Ryshchenkov
Q4272055,Lyudi na bolote,Q4536969,Marina Yakovleva
Q4271479,The Beloved,Q449770,Marina Ladynina
Q4271478,Waiting for Love,Q15732544,Galina Samokhina
Q4161505,Commando Wild Wind,Q14635419,Milan Puzić
Q4532965,"Эти невероятные музыканты, или Новые сновидения Шурика",Q1841254,Vyacheslav Nevinny
Q4271478,Waiting for Love,Q68537,Lyudmila Gurchenko
Q4272055,Lyudi na bolote,Q4146314,"Горячий, Эдуард Николаевич"
Q4272055,Lyudi na bolote,Q4283065,Tatyana Markhel
Q4272055,Lyudi na bolote,Q4293608,August Milovanov
Q4272055,Lyudi na bolote,Q4315752,Boris Nevzorov
Q4272055,Lyudi na bolote,Q4330845,Gennady Ovsyannikov
Q4161476,The Wild Dog Dingo,Q4265123,Tamara Loginova
Q4161760,Дина,Q4422387,Tatyana Skorokhodova
Q4271478,Waiting for Love,Q4106110,Vasily Vekshin
Q4271478,Waiting for Love,Q4427250,Stanislav Sokolov
Q4271478,Waiting for Love,Q15206609,Liliya Yevstigneyeva
Q4161505,Commando Wild Wind,Q1254786,Dragomir Felba
Q4161546,Дикое поле,Q1717612,Vladimir Antonik
Q4532965,"Эти невероятные музыканты, или Новые сновидения Шурика",Q510170,Natalya Varley
Q4532965,"Эти невероятные музыканты, или Новые сновидения Шурика",Q960027,Aleksandr Demyanenko
Q4161476,The Wild Dog Dingo,Q4395843,Anna Rodionova
Q4532965,"Эти невероятные музыканты, или Новые сновидения Шурика",Q1750617,Svetlana Svetlichnaya
Q4272055,Lyudi na bolote,Q13031322,Liliya Davidovich
Q4272055,Lyudi na bolote,Q13031292,"Писарева, Людмила Ивановна"
Q4534972,Юркины рассветы,Q4405072,Nina Sazonova
Q4534972,Юркины рассветы,Q4457582,Nikolai Timofeyev
Q4271825,Earthly Love,Q3575559,Zinaida Kiriyenko
Q4272055,Lyudi na bolote,Q4141005,Viktor Gogolev
Q4272055,Lyudi na bolote,Q4144760,Yury Gorobets
Q4272055,Lyudi na bolote,Q4236741,Afanasy Kochetkov
Q4271478,Waiting for Love,Q1967150,Sergey Shakurov
Q4271478,Waiting for Love,Q4111576,Pavel Vinnik
Q4271478,Waiting for Love,Q4265604,Vsevolod Shilovsky
Q4533086,Это было в Коканде,Q620653,Alexander Kaidanovsky
Q4161476,The Wild Dog Dingo,Q461589,Galina Polskikh
Q4161546,Дикое поле,Q4105253,Bimbolat Vatayev
Q4161546,Дикое поле,Q4142346,Valentin Golubenko
Q4161546,Дикое поле,Q4234488,Oleg Korchikov
Q4532965,"Эти невероятные музыканты, или Новые сновидения Шурика",Q1149705,Savely Kramarov
Q4161546,Дикое поле,Q4398993,Boris Rubashkin
Q4161546,Дикое поле,Q4478808,Mentana Utepbergenov
Q4272055,Lyudi na bolote,Q13033100,Vladimir Kuleshov
Q4534972,Юркины рассветы,Q4401735,Valery Ryzhakov
Q4272055,Lyudi na bolote,Q4093660,Yelena Borzova
Q4316302,Незваный друг,Q2364264,Oleg Dahl
Q4317171,An Unusual Concert,Q4274528,Irina Mazing
Q4317325,The Unamenables,Q4226282,Aleksey Kozhevnikov
Q4317335,Непокорённый батальон,Q4336687,Mikhail Ivanovich Orlov
Q4316224,Nezhnost,Q4314660,Rodion Nakhapetov
Q4317159,An Unusual Summer,Q4234593,Viktor Korshunov
Q4273985,Highway,Q2387480,Vladimir Gostyukhin
Q4316302,Незваный друг,Q466139,Oleg Tabakov
Q4316283,Unfinished Supper,Q4100221,Paul Butkevich
Q4272055,Lyudi na bolote,Q2372665,Dmitry Kharatyan
Q4316283,Unfinished Supper,Q4341960,Eduards Pāvuls
Q4317157,Unusual Exhibition,Q4518423,Vasili Chkhaidze
Q4317335,Непокорённый батальон,Q16372140,Ofeliya Məmmədzadə
Q4316323,Незнайка с нашего двора,Q4461337,Vladimir Torsuyev
Q4317685,The Age of Innocence,Q4260048,Vasily Letenkov
Q4316302,Незваный друг,Q282818,Irina Alfyorova
Q4317328,Not Under the Jurisdiction,Q2368070,Leonid Kuravlyov
Q4317376,Uninvented Story,Q2368070,Leonid Kuravlyov
Q4272659,Lyana,Q4197469,Kyunna Ignatova
Q4316365,Incorrigible Liar,Q910373,Inna Makarova
Q4317335,Непокорённый батальон,Q12840463,Hüseynağa Sadıqov
Q4317335,Непокорённый батальон,Q12846395,Tamilla Ağamirova
Q4317157,Unusual Exhibition,Q4454223,Valentina Telichkina
Q4316224,Nezhnost,Q4203107,Shuhrat Ergashev
Q4316231,Tender Age,Q4155996,Evgeny Dvorzhetsky
Q4317685,The Age of Innocence,Q4218363,Leonid Kayurov
Q4317376,Uninvented Story,Q265610,Zhanna Prokhorenko
Q4317328,Not Under the Jurisdiction,Q614494,Oleg Strizhenov
Q4316406,Neylon 100%,Q730275,Mikhail Pugovkin
Q4317083,Hatred,Q25390110,Nikolay Prozorovsky
Q4317325,The Unamenables,Q2003697,Anatoly Borisovich Kuznetsov
Q4272659,Lyana,Q4521816,Aleksandr Shvorin
Q4317325,The Unamenables,Q2997148,Nadezhda Rumyantseva
Q4316365,Incorrigible Liar,Q1153582,Georgy Vitsin
Q4317325,The Unamenables,Q4100893,Yevgeny Bykadorov
Q4317335,Непокорённый батальон,Q13534534,İsmayıl Osmanlı
Q4316406,Neylon 100%,Q2568825,Vladimir Basov
Q4316365,Incorrigible Liar,Q2545982,Vladimir Etush
Q4275244,Makar-sledopyt,Q1623429,Oleg Borisov
Q4317229,Неоплаченный долг,Q4199970,Danylo Ilchenko
Q4317325,The Unamenables,Q1965634,Nina Agapova
Q4272659,Lyana,Q4307870,Radner Muratov
Q4317335,Непокорённый батальон,Q12842491,Müxlis Cənizadə
Q4317376,Uninvented Story,Q4166908,Vitali Doronin
Q4317376,Uninvented Story,Q4176081,Georgy Yepifantsev
Q4317657,Several Interviews on Personal Matters,Q4309189,Nana Mchedlidze
Q4317201,Unfinished Story,Q2370750,Elina Bystritskaya
Q4317376,Uninvented Story,Q4084679,Valentina Berezutskaya
Q4317328,Not Under the Jurisdiction,Q4276040,Lyudmila Maksakova
Q4317167,Karik and Valya's Remarkable Adventures,Q4372652,Elena Kimovna Popova
Q4272055,Lyudi na bolote,Q61540,Viktor Tarasov
Q4272659,Lyana,Q312480,Leonid Gaidai
Q4317335,Непокорённый батальон,Q21131183,Anatoliy Yurchenko
Q4272659,Lyana,Q4240254,Muza Krepkogorskaya
Q4272055,Lyudi na bolote,Q2026191,Fyodar Shmakaw
Q4316406,Neylon 100%,Q4239917,Nina Krachkovskaya
Q4316360,The Unknown Soldier,Q4519042,Ivan Shabaltas
Q4317167,Karik and Valya's Remarkable Adventures,Q362133,Vasily Livanov
Q4316406,Neylon 100%,Q2368070,Leonid Kuravlyov
Q4317318,Nepobedimyy,Q2003967,Andrei Rostotsky
Q4317333,The Unvanquished,Q4100641,Amvrosy Buchma
Q4316360,The Unknown Soldier,Q603381,Nikolai Grinko
Q4274966,Major Whirlwind,Q4085157,Vadim Beroev
Q4274966,Major Whirlwind,Q4114833,Anastasia Voznesenskaya
Q4273985,Highway,Q4056739,Ivan Agafonov
Q4272055,Lyudi na bolote,Q118125,Mariya Zakharevich
