header_id,0,1,2,3,4,5,6,7,8,9
C1_facs_1_region_1699100518519_15,0.0009430797476622346,0.0,0.0,0.0,0.0,0.011116562549804743,0.09393567746966025,0.0026833894847267813,0.033687362315435475,0.014808839709758534
C1_facs_2_region_1699101628768_50,0.0,0.09160731191815996,0.0,0.0,0.0,0.0,0.07432844661988676,0.0,0.0726550084932781,0.03250215996197777
C1_facs_2_region_1699101668887_62,0.0015495582699579383,0.01452654489118466,0.0076406701075629,0.00401959939599957,0.0008247398391052792,0.004686633972258262,0.05361901279676249,0.006697287212895295,0.013186366136992242,0.03444167587657764
C1_facs_3_region_1699102206352_41,0.0362249112283389,0.06981924473317662,0.0,0.00019996513301717133,0.0,0.039818173334008194,0.10625519074244714,0.003119248137537773,0.0,0.006375510931895107
C1_facs_5_region_1699102766670_47,0.0,0.111005161494712,0.0,0.0,0.0,0.0005434165398562595,0.015712451433718383,0.0,0.12389334221598776,0.0292923277161005
C1_facs_6_region_1699102837851_70,0.007674867827283138,0.0,0.0,0.0,0.02265982340445908,0.0,0.05293836768255381,0.10801429027031251,0.0,0.017651254265924017
C1_facs_7_region_1699102892637_89,0.0,0.0,0.0,0.0,0.0,0.0,0.15107166228537355,0.0,0.0,0.0
C1_facs_8_region_1699102941837_110,0.0,0.0,0.0,0.05297457043922961,0.0,0.0,0.0,0.0,0.044445950977738354,0.0
C1_facs_8_region_1699102952561_113,0.03623415106516059,0.013092481004372443,0.0,0.0,0.058236107501368775,0.16905702880854143,0.0,0.00253413943672523,0.001429451902020659,0.0
C1_facs_9_region_1699103076614_152,0.0783233635679863,0.008330637279657582,0.0,0.0,0.0,0.0,0.08039497514160483,0.0,0.010797763431029221,4.496179253691818e-05
C1_facs_10_region_1699103130494_171,0.0,0.0,0.0,0.006681789905257927,0.0,0.0,0.1217960195194345,0.0,0.010513100299235604,0.0
C1_facs_10_region_1699103134623_174,0.12553803727780277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_facs_11_region_1699103205924_208,0.010623640128161659,0.0,0.11257452151667083,0.044869544389269995,0.0002011443962764032,0.0,0.0,0.0,0.019579217150161927,0.0
C1_facs_12_region_1699103248754_227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28500347004195914
